time [s], mxb, myb, mzb, sxb, syb, szb
1.540000e+01, 3.453092e-01, -6.341491e-01, -6.918211e-01, -1.871642e-01, 6.710242e-01, -7.174232e-01
1.550000e+01, 2.559157e-01, -7.880599e-01, -5.598828e-01, 1.581356e-01, 5.993213e-01, -7.847338e-01
1.560000e+01, 8.892859e-02, -8.956614e-01, -4.357549e-01, 4.707615e-01, 4.252670e-01, -7.730016e-01
1.570000e+01, -1.068282e-01, -9.300305e-01, -3.516120e-01, 7.088628e-01, 1.722253e-01, -6.839971e-01
1.580000e+01, -3.130524e-01, -9.000874e-01, -3.030526e-01, 8.390529e-01, -1.233266e-01, -5.298875e-01
1.590000e+01, -5.136731e-01, -8.061747e-01, -2.936365e-01, 8.432056e-01, -4.229780e-01, -3.318041e-01
16, -6.772336e-01, -6.564699e-01, -3.322678e-01, 7.203607e-01, -6.834594e-01, -1.181685e-01
1.610000e+01, -7.676451e-01, -4.754727e-01, -4.297054e-01, 4.892382e-01, -8.682735e-01, 8.214098e-02
1.620000e+01, -7.886365e-01, -2.797089e-01, -5.475540e-01, 1.784144e-01, -9.536354e-01, 2.423796e-01
1.630000e+01, -7.305520e-01, -1.173858e-01, -6.726919e-01, -1.659092e-01, -9.263770e-01, 3.380824e-01
1.640000e+01, -5.981675e-01, 8.502386e-03, -8.013260e-01, -4.958807e-01, -7.908879e-01, 3.586065e-01
1.650000e+01, -4.172187e-01, 8.055772e-02, -9.052287e-01, -7.690467e-01, -5.648085e-01, 2.992632e-01
1.660000e+01, -1.977254e-01, 7.765184e-02, -9.771770e-01, -9.445945e-01, -2.815461e-01, 1.687394e-01
1.670000e+01, 1.990123e-03, 7.614894e-03, -9.999690e-01, -9.996858e-01, 2.091950e-02, -1.381025e-02
1.680000e+01, 1.843258e-01, -1.338537e-01, -9.737080e-01, -9.263092e-01, 3.027499e-01, -2.242626e-01
1.690000e+01, 2.994685e-01, -2.980271e-01, -9.063655e-01, -7.346853e-01, 5.212371e-01, -4.342228e-01
